service_type,session_date,total_sessions,ai_chat_sessions,ai_rate_pct,conversions
Network Security Audit,2026-03-20,1337,231.0,17.28,282.0
Penetration Testing,2026-03-20,1246,216.0,17.34,108.0
Schedule Demo,2026-03-20,945,115.0,12.17,472.0
AI Cyber Assistant,2026-03-21,1485,273.0,18.38,331.0
Cyber Awareness Webinar,2026-03-21,180,37.0,20.56,40.0
Network Security Audit,2026-03-21,1274,212.0,16.64,266.0
Penetration Testing,2026-03-21,1239,229.0,18.48,106.0
Schedule Demo,2026-03-21,942,101.0,10.72,433.0
AI Cyber Assistant,2026-03-22,1478,268.0,18.13,385.0
Cyber Awareness Webinar,2026-03-22,183,39.0,21.31,41.0
Network Security Audit,2026-03-22,1273,213.0,16.73,234.0
Penetration Testing,2026-03-22,1282,237.0,18.49,116.0
Schedule Demo,2026-03-22,970,106.0,10.93,479.0
AI Cyber Assistant,2026-03-23,1480,264.0,17.84,371.0
Cyber Awareness Webinar,2026-03-23,199,43.0,21.61,52.0
Network Security Audit,2026-03-23,1394,230.0,16.5,248.0
Penetration Testing,2026-03-23,1253,235.0,18.75,112.0
Schedule Demo,2026-03-23,923,85.0,9.21,424.0
AI Cyber Assistant,2026-03-24,1552,293.0,18.88,374.0
Cyber Awareness Webinar,2026-03-24,196,42.0,21.43,40.0
Network Security Audit,2026-03-24,1323,210.0,15.87,275.0
Penetration Testing,2026-03-24,1201,233.0,19.4,101.0
Schedule Demo,2026-03-24,912,83.0,9.1,428.0
AI Cyber Assistant,2026-03-25,1597,310.0,19.41,395.0
Cyber Awareness Webinar,2026-03-25,174,33.0,18.97,44.0
Network Security Audit,2026-03-25,1343,219.0,16.31,243.0
Penetration Testing,2026-03-25,1271,241.0,18.96,106.0
Schedule Demo,2026-03-25,951,106.0,11.15,456.0
AI Cyber Assistant,2026-03-26,1555,269.0,17.3,341.0
Cyber Awareness Webinar,2026-03-26,200,44.0,22.0,48.0
Network Security Audit,2026-03-26,1312,209.0,15.93,246.0
Penetration Testing,2026-03-26,1265,251.0,19.84,119.0
Schedule Demo,2026-03-26,931,102.0,10.96,446.0
AI Cyber Assistant,2026-03-27,1556,302.0,19.41,371.0
Cyber Awareness Webinar,2026-03-27,183,35.0,19.13,40.0
Network Security Audit,2026-03-27,1284,183.0,14.25,242.0
Penetration Testing,2026-03-27,1259,241.0,19.14,98.0
Schedule Demo,2026-03-27,921,97.0,10.53,415.0
AI Cyber Assistant,2026-03-28,1543,278.0,18.02,347.0
Cyber Awareness Webinar,2026-03-28,201,40.0,19.9,44.0
Network Security Audit,2026-03-28,1315,213.0,16.2,262.0
Penetration Testing,2026-03-28,1221,212.0,17.36,105.0
Schedule Demo,2026-03-28,960,99.0,10.31,466.0
AI Cyber Assistant,2026-03-29,1561,283.0,18.13,347.0
Cyber Awareness Webinar,2026-03-29,202,32.0,15.84,43.0
Network Security Audit,2026-03-29,1338,233.0,17.41,274.0
Penetration Testing,2026-03-29,1226,234.0,19.09,111.0
Schedule Demo,2026-03-29,913,99.0,10.84,427.0
AI Cyber Assistant,2026-03-30,1611,280.0,17.38,401.0
Cyber Awareness Webinar,2026-03-30,156,27.0,17.31,38.0
Network Security Audit,2026-03-30,1318,231.0,17.53,269.0
Penetration Testing,2026-03-30,1207,195.0,16.16,99.0
Schedule Demo,2026-03-30,977,106.0,10.85,475.0
AI Cyber Assistant,2026-03-31,1583,278.0,17.56,365.0
Cyber Awareness Webinar,2026-03-31,204,35.0,17.16,37.0
Network Security Audit,2026-03-31,1342,232.0,17.29,266.0
Penetration Testing,2026-03-31,1100,203.0,18.45,103.0
Schedule Demo,2026-03-31,941,96.0,10.2,435.0
AI Cyber Assistant,2026-04-01,1616,303.0,18.75,417.0
Cyber Awareness Webinar,2026-04-01,150,30.0,20.0,38.0
Network Security Audit,2026-04-01,1248,211.0,16.91,250.0
Penetration Testing,2026-04-01,1185,208.0,17.55,100.0
Schedule Demo,2026-04-01,963,106.0,11.01,446.0
AI Cyber Assistant,2026-04-02,1726,342.0,19.81,428.0
Cyber Awareness Webinar,2026-04-02,192,33.0,17.19,49.0
Network Security Audit,2026-04-02,1311,198.0,15.1,211.0
Penetration Testing,2026-04-02,1132,212.0,18.73,85.0
Schedule Demo,2026-04-02,938,99.0,10.55,457.0
AI Cyber Assistant,2026-04-03,1645,294.0,17.87,379.0
Cyber Awareness Webinar,2026-04-03,171,30.0,17.54,37.0
Network Security Audit,2026-04-03,1252,202.0,16.13,238.0
Penetration Testing,2026-04-03,1162,202.0,17.38,80.0
Schedule Demo,2026-04-03,906,117.0,12.91,418.0
AI Cyber Assistant,2026-04-04,1645,336.0,20.43,431.0
Cyber Awareness Webinar,2026-04-04,203,36.0,17.73,42.0
Network Security Audit,2026-04-04,1183,215.0,18.17,219.0
Penetration Testing,2026-04-04,1117,213.0,19.07,97.0
Schedule Demo,2026-04-04,929,104.0,11.19,435.0
AI Cyber Assistant,2026-04-05,1654,304.0,18.38,389.0
Cyber Awareness Webinar,2026-04-05,168,32.0,19.05,35.0
Network Security Audit,2026-04-05,1250,231.0,18.48,244.0
Penetration Testing,2026-04-05,1062,203.0,19.11,98.0
Schedule Demo,2026-04-05,959,108.0,11.26,444.0
AI Cyber Assistant,2026-04-06,1827,345.0,18.88,458.0
Cyber Awareness Webinar,2026-04-06,177,38.0,21.47,46.0
Network Security Audit,2026-04-06,1343,253.0,18.84,270.0
Penetration Testing,2026-04-06,1107,205.0,18.52,86.0
Schedule Demo,2026-04-06,951,118.0,12.41,446.0
