converted,ai_chat_engaged,service_enc,country_enc,hour_of_day,daily_request_volume,funnel_depth
0,0,4,2,14,973.0,1
0,0,2,2,10,1284.0,2
0,0,3,2,21,1322.0,1
1,1,4,0,22,914.0,2
0,0,0,0,20,1514.0,1
1,1,4,2,11,961.0,2
0,0,3,1,10,1191.0,2
1,0,2,2,19,1267.0,3
1,0,4,4,14,961.0,2
0,0,3,0,19,1481.0,2
0,0,0,0,20,1286.0,1
0,1,2,0,9,1272.0,1
0,0,4,3,10,914.0,1
0,0,2,1,18,1267.0,2
0,0,0,0,12,926.0,2
0,0,3,3,4,1544.0,2
1,0,0,2,15,1093.0,3
1,1,0,0,8,950.0,3
1,0,4,4,10,914.0,2
0,0,2,0,23,1208.0,2
0,0,4,3,20,899.0,1
0,0,0,2,14,1396.0,2
0,1,3,0,16,1632.0,3
0,0,4,4,18,869.0,1
1,0,4,4,14,894.0,2
0,0,3,0,12,1495.0,3
0,0,0,4,11,1086.0,1
0,0,4,3,7,918.0,1
0,0,0,0,13,1281.0,2
0,0,3,3,11,1476.0,1
0,0,0,2,11,1482.0,1
0,0,0,0,18,1129.0,1
0,0,3,2,3,1609.0,2
0,1,0,0,16,1458.0,2
0,0,4,4,10,918.0,1
0,0,4,3,10,910.0,1
0,0,0,4,16,1535.0,2
0,1,3,2,19,1481.0,1
0,0,3,0,11,1096.0,2
0,0,4,4,9,908.0,1
1,0,4,0,13,922.0,2
0,0,2,0,15,1267.0,2
0,0,3,4,10,1020.0,1
0,1,2,0,16,1308.0,2
1,0,4,4,15,856.0,2
1,0,4,0,13,953.0,2
0,0,3,2,12,1632.0,1
0,0,2,0,22,1251.0,2
0,0,1,0,21,1353.0,1
0,0,3,0,14,1284.0,1
0,1,0,0,10,1153.0,1
0,0,2,2,14,1267.0,1
0,0,4,0,12,993.0,1
1,0,2,0,8,923.0,3
0,0,0,2,12,1514.0,1
0,0,4,4,20,993.0,1
0,1,0,0,11,930.0,2
0,0,3,0,20,1381.0,2
0,0,3,0,12,1623.0,2
0,0,3,3,22,1631.0,1
0,0,2,2,15,1283.0,1
0,0,3,1,15,1469.0,2
0,0,4,0,17,929.0,1
0,0,3,0,14,1207.0,2
1,0,4,2,20,869.0,2
1,0,0,0,10,1347.0,3
0,0,4,2,9,929.0,1
1,1,0,2,6,909.0,3
1,1,3,0,15,1067.0,4
0,0,0,2,16,1570.0,1
0,1,3,2,16,1226.0,2
0,0,2,0,10,1307.0,1
0,0,0,0,19,1030.0,2
1,0,0,3,17,771.0,3
1,0,0,2,19,1517.0,3
0,0,2,0,9,1206.0,2
0,0,3,0,14,1207.0,1
0,1,0,4,20,1463.0,2
0,0,2,3,10,1331.0,2
0,0,2,4,15,1252.0,1
0,1,4,0,11,914.0,1
0,0,2,4,17,1314.0,1
0,0,2,2,15,1276.0,2
0,0,2,2,11,1340.0,2
0,0,0,2,20,1396.0,1
0,0,0,3,8,1353.0,2
0,0,3,0,16,1455.0,1
0,0,4,4,16,903.0,1
0,0,2,2,16,1308.0,1
0,0,0,0,16,1396.0,1
0,0,3,3,16,1181.0,2
0,0,2,2,9,1267.0,1
1,0,1,0,10,1350.0,3
0,0,3,4,11,1164.0,1
0,0,3,3,12,1218.0,1
0,0,2,3,13,1267.0,1
0,0,4,3,13,961.0,1
0,0,0,3,16,934.0,2
0,0,2,2,15,1167.0,2
0,0,2,2,15,1271.0,1
0,0,2,2,16,1308.0,2
0,0,1,3,11,191.0,2
0,0,3,4,13,1544.0,1
1,1,4,4,9,930.0,2
0,0,3,0,0,1385.0,3
0,0,4,2,11,973.0,1
0,0,0,0,18,1215.0,1
0,0,3,4,7,1181.0,1
0,0,3,0,15,1299.0,2
0,0,2,0,6,976.0,1
0,0,3,0,12,1623.0,2
0,0,3,0,11,1528.0,2
0,0,0,2,22,1514.0,2
0,0,4,4,15,939.0,1
0,0,3,0,10,1401.0,2
1,0,0,3,18,1353.0,3
0,0,2,2,19,1267.0,1
1,0,4,3,9,918.0,2
0,0,4,3,10,840.0,1
1,0,2,2,19,1194.0,3
1,0,4,4,13,851.0,2
0,0,2,0,18,1308.0,1
0,0,4,4,20,903.0,1
0,0,3,2,10,1132.0,3
1,1,0,0,21,1570.0,3
1,0,0,3,11,1030.0,3
1,0,2,0,15,1208.0,3
0,0,4,1,4,929.0,1
0,0,2,2,13,1272.0,2
1,1,3,0,16,1392.0,4
0,1,3,0,14,1056.0,2
0,0,4,4,18,929.0,1
0,0,3,2,14,1629.0,1
0,1,2,2,20,1316.0,2
0,0,0,0,20,1517.0,1
1,0,4,0,5,914.0,2
0,0,3,0,10,1051.0,1
0,0,2,2,16,1128.0,1
0,0,0,2,14,1281.0,1
0,0,3,2,17,1476.0,3
0,0,2,3,13,1331.0,1
0,0,2,2,9,1248.0,1
0,0,3,2,17,1385.0,1
1,1,0,0,18,1281.0,3
0,0,1,0,15,202.0,1
1,1,0,2,15,1621.0,3
1,1,2,3,11,1222.0,3
0,0,3,3,16,1218.0,3
0,0,3,2,9,1392.0,2
0,0,3,2,12,1555.0,1
0,0,0,0,8,1102.0,1
1,0,0,0,15,1129.0,3
1,1,3,0,12,1303.0,4
1,1,3,2,10,1449.0,4
0,0,2,0,14,1225.0,2
0,0,0,3,13,1720.0,2
0,0,2,0,11,1267.0,2
1,0,0,3,19,1479.0,3
1,0,4,0,14,953.0,2
0,0,3,2,14,1424.0,2
1,1,2,1,10,1271.0,3
0,0,3,2,12,1226.0,2
0,0,2,0,19,1312.0,1
1,0,4,4,22,929.0,2
0,0,3,0,10,1192.0,2
0,0,3,0,17,1528.0,2
0,0,0,0,10,1308.0,2
1,0,4,0,10,904.0,2
0,0,3,0,14,1356.0,1
0,0,4,1,14,686.0,1
0,0,3,2,11,1218.0,3
0,0,3,2,14,1231.0,2
0,0,0,4,10,1327.0,1
0,0,0,0,2,950.0,2
0,0,4,4,9,1015.0,1
0,0,0,4,10,1035.0,1
1,1,0,4,18,1129.0,3
0,0,3,0,12,1140.0,1
0,0,0,4,11,1215.0,2
1,1,2,0,21,1267.0,3
0,0,4,4,11,930.0,1
1,1,0,2,7,1035.0,3
1,1,2,2,9,1232.0,3
0,0,0,2,7,1720.0,1
0,0,0,0,23,1485.0,2
0,0,2,0,8,923.0,2
0,0,0,0,16,1102.0,1
0,0,2,1,17,1287.0,2
0,0,2,4,9,1256.0,2
1,1,3,4,11,1535.0,4
0,0,2,4,13,1308.0,2
0,0,0,2,15,1720.0,2
0,0,2,2,8,1232.0,1
0,0,3,4,14,1142.0,1
0,0,3,2,13,1544.0,2
0,1,2,0,14,1271.0,2
1,0,4,0,20,939.0,2
0,0,3,3,15,1192.0,2
1,1,1,0,15,199.0,3
0,0,3,2,10,1189.0,2
0,0,0,0,11,1129.0,2
0,0,4,2,11,910.0,1
0,0,0,0,12,1570.0,2
0,0,3,0,15,1481.0,1
0,0,3,0,12,1192.0,1
0,0,0,2,16,1281.0,2
1,0,4,2,16,958.0,2
0,0,2,2,17,1331.0,1
0,0,3,2,12,1623.0,1
0,0,0,0,10,1286.0,1
1,0,2,2,22,1261.0,3
0,0,4,0,23,953.0,1
0,1,2,2,0,1253.0,2
0,0,1,0,15,1353.0,2
0,0,2,1,4,1194.0,1
0,0,0,0,23,1514.0,2
1,1,0,0,9,1302.0,3
0,0,3,0,9,1555.0,1
1,0,0,3,15,1347.0,3
0,0,3,0,15,1191.0,3
0,0,2,0,17,923.0,2
1,0,3,0,19,1555.0,4
1,1,0,4,16,1240.0,3
0,0,2,0,2,1261.0,2
0,0,0,0,22,1035.0,1
1,0,4,3,19,851.0,2
0,0,4,3,16,903.0,1
0,0,0,0,11,1240.0,2
0,0,3,0,8,1059.0,2
0,0,3,0,12,1059.0,1
0,0,0,3,17,1108.0,2
0,0,0,0,11,1396.0,2
1,0,4,0,7,869.0,2
0,0,2,1,15,1254.0,2
1,0,2,0,15,1314.0,3
0,0,3,2,10,1632.0,3
0,0,3,2,13,1638.0,1
0,0,2,3,13,1267.0,2
0,0,3,0,21,1284.0,1
1,1,0,4,16,912.0,3
0,0,0,0,18,1555.0,2
1,0,2,0,11,1244.0,3
0,1,0,0,16,1308.0,1
0,0,2,2,12,1267.0,2
0,0,0,0,17,1357.0,2
0,0,1,4,10,169.0,2
1,0,4,4,14,1015.0,2
1,0,4,3,12,910.0,2
1,0,4,0,18,929.0,2
0,0,0,1,18,1030.0,2
0,0,0,0,18,934.0,1
0,0,2,2,14,1267.0,2
0,0,4,3,12,869.0,1
0,0,1,2,14,191.0,1
0,1,1,2,9,1319.0,2
0,0,0,1,19,1458.0,1
1,1,3,4,12,1449.0,4
0,0,4,3,21,904.0,1
0,0,3,2,15,1231.0,1
1,0,0,4,14,1102.0,3
0,0,4,4,18,944.0,1
1,1,3,2,9,1051.0,4
0,0,0,0,8,1514.0,2
0,0,2,2,20,1267.0,2
0,1,4,0,14,929.0,1
0,0,3,0,13,1449.0,1
1,0,4,2,9,944.0,2
0,0,2,2,11,1267.0,1
0,0,2,2,5,1222.0,1
0,1,0,0,15,1570.0,2
1,0,4,3,16,891.0,2
0,0,3,0,16,1191.0,1
0,0,3,3,21,1192.0,1
0,0,3,2,9,1449.0,1
0,0,3,0,10,1525.0,2
0,1,3,0,15,1555.0,3
1,0,0,2,7,1215.0,3
0,0,2,0,17,1314.0,2
0,0,2,0,16,1308.0,1
0,0,0,0,16,1093.0,1
0,0,2,2,11,1227.0,2
0,0,3,2,12,1164.0,3
0,0,0,0,10,1463.0,1
0,0,4,3,15,882.0,1
1,0,0,0,16,926.0,3
0,1,3,2,15,1609.0,3
0,0,0,0,19,912.0,1
0,0,3,2,12,1145.0,2
1,0,4,4,10,958.0,2
0,0,3,1,15,1132.0,2
0,0,1,2,10,182.0,1
0,0,4,0,15,918.0,1
0,0,4,3,9,970.0,1
0,0,4,0,16,856.0,1
1,0,4,2,9,993.0,2
0,0,3,4,18,1419.0,1
1,1,0,1,8,1353.0,3
0,0,3,2,14,1449.0,2
0,0,4,0,18,895.0,1
0,0,0,0,11,1458.0,1
1,1,2,2,8,915.0,3
0,1,4,0,18,929.0,1
0,0,4,4,10,882.0,1
1,0,2,2,9,1261.0,3
0,0,2,4,11,976.0,1
0,1,3,4,17,1191.0,3
0,0,4,4,18,910.0,1
1,1,2,0,16,1331.0,3
0,0,4,3,15,895.0,1
0,0,3,0,12,1203.0,2
0,0,1,1,15,1319.0,2
0,0,3,4,21,1495.0,2
0,0,4,0,14,903.0,1
0,0,2,0,20,1232.0,2
0,0,3,3,12,1632.0,2
0,0,4,3,8,926.0,1
1,0,0,0,16,1308.0,3
0,0,1,3,14,170.0,2
0,0,0,3,1,1153.0,1
1,1,3,4,10,1096.0,4
1,1,4,2,21,686.0,2
0,0,2,2,20,1267.0,2
1,1,0,2,16,1621.0,3
0,0,2,2,18,1222.0,2
0,0,2,0,15,1267.0,1
1,0,0,0,12,1281.0,3
0,0,3,0,14,1192.0,2
0,0,3,0,15,1535.0,1
0,0,3,3,16,1632.0,2
0,0,3,2,9,1056.0,1
0,0,2,0,22,1308.0,2
0,0,2,2,13,1194.0,1
0,0,2,4,20,1267.0,1
0,0,1,0,15,187.0,1
0,0,2,0,13,1248.0,1
0,0,0,0,10,1093.0,2
0,0,4,3,20,851.0,1
0,0,4,4,13,921.0,1
0,0,3,0,13,1181.0,2
0,0,4,0,14,958.0,1
1,0,4,4,12,891.0,2
1,0,4,3,12,930.0,2
0,0,3,0,11,1544.0,1
1,0,4,2,11,686.0,2
0,0,2,2,13,1314.0,2
0,0,1,0,10,1353.0,2
0,0,2,0,15,1261.0,2
0,0,3,3,14,1392.0,1
0,0,4,2,17,928.0,1
0,1,2,0,10,1283.0,2
1,1,0,3,1,1720.0,3
0,0,4,1,12,914.0,1
0,0,2,0,8,1340.0,1
1,1,0,0,23,796.0,3
1,1,3,0,15,1284.0,4
0,0,2,0,14,1308.0,1
0,0,3,4,21,1192.0,3
0,0,3,0,17,1469.0,1
0,0,1,3,12,169.0,1
0,0,2,0,10,1257.0,2
0,0,0,0,14,1560.0,1
1,0,4,4,10,918.0,2
0,1,3,2,12,1476.0,2
0,0,0,0,10,909.0,2
0,0,0,2,16,1720.0,1
0,0,3,4,19,1448.0,1
0,0,3,0,17,1164.0,2
0,0,4,0,11,861.0,1
1,1,3,2,16,1632.0,4
0,0,3,0,12,1609.0,2
0,0,4,3,22,922.0,1
0,0,3,0,8,1535.0,1
0,0,0,0,15,1342.0,2
0,0,2,2,17,1233.0,2
0,0,0,1,16,1129.0,1
0,0,3,3,13,1192.0,2
1,1,1,0,10,1311.0,3
1,0,4,0,12,928.0,2
0,0,3,3,13,1638.0,1
0,0,4,0,6,894.0,1
0,0,3,0,9,1195.0,2
1,0,4,4,17,929.0,2
0,0,0,0,9,1227.0,2
1,0,0,0,7,1570.0,3
0,0,3,2,17,1059.0,1
1,1,3,0,18,1164.0,4
0,1,3,0,19,1051.0,1
1,1,0,0,12,1396.0,3
1,0,4,3,9,965.0,2
1,1,2,0,14,1194.0,3
0,0,0,2,15,1403.0,2
0,0,4,0,12,939.0,1
0,1,3,2,16,1207.0,3
0,0,3,3,7,1191.0,2
0,0,3,1,11,1231.0,2
0,0,3,2,22,1142.0,2
0,0,3,0,9,1476.0,3
0,0,3,0,15,1096.0,1
0,0,2,0,12,1226.0,1
0,0,0,0,14,778.0,1
0,0,0,0,15,1460.0,2
1,1,2,0,16,1331.0,3
0,0,0,4,15,1396.0,2
0,0,0,1,16,1555.0,2
0,0,2,2,15,1226.0,2
0,0,0,0,13,1153.0,1
0,0,2,2,11,1331.0,1
0,0,2,2,16,1261.0,1
0,0,0,0,11,1286.0,2
0,1,3,0,14,1145.0,2
0,0,4,2,12,882.0,1
1,1,3,0,17,1145.0,4
0,1,2,2,9,1261.0,1
0,0,3,2,11,1145.0,1
0,0,2,3,14,1244.0,1
0,1,0,3,11,1517.0,1
0,0,4,0,16,914.0,1
0,0,3,4,16,1481.0,1
1,0,2,2,11,1189.0,3
0,1,2,4,12,1248.0,1
1,1,4,3,11,930.0,2
1,0,1,1,9,188.0,3
0,0,2,2,17,1238.0,1
0,0,4,3,9,895.0,1
1,0,4,0,14,900.0,2
0,0,2,3,9,1267.0,2
0,0,0,0,17,1396.0,2
0,0,2,0,11,1232.0,2
0,0,4,0,8,851.0,1
1,1,0,3,23,1485.0,3
0,0,4,0,14,953.0,1
0,0,0,0,14,950.0,2
0,0,4,0,14,851.0,1
0,0,0,4,12,1460.0,1
0,0,2,2,15,1267.0,2
1,1,0,3,13,950.0,3
0,0,2,0,11,1257.0,1
0,0,3,0,16,1455.0,2
0,0,2,0,9,1244.0,1
0,0,3,0,12,1140.0,2
0,0,0,0,10,926.0,2
0,0,2,1,8,1308.0,2
0,0,0,4,11,1108.0,2
1,0,0,0,13,1327.0,3
0,0,0,2,10,1184.0,2
0,0,0,4,9,1261.0,2
0,0,2,2,14,1314.0,1
0,0,0,2,19,1357.0,2
0,0,2,2,13,1267.0,1
1,0,4,2,10,851.0,2
0,0,2,2,16,1248.0,2
0,0,3,0,9,1191.0,1
0,0,2,1,19,1276.0,1
0,0,0,0,2,1460.0,2
0,0,2,2,15,1276.0,2
1,0,4,4,20,993.0,2
0,0,1,3,12,172.0,2
1,1,0,0,10,1150.0,3
1,0,0,4,20,1153.0,3
0,0,4,4,11,929.0,1
0,0,3,0,9,1218.0,1
1,1,4,4,11,908.0,2
0,0,3,0,16,1056.0,1
0,0,3,4,8,1303.0,2
0,0,0,4,9,1460.0,2
0,0,0,2,12,1281.0,2
0,0,1,2,12,173.0,2
0,0,3,0,15,1322.0,2
0,0,0,2,11,1396.0,1
0,0,0,3,7,1102.0,2
0,0,2,0,16,1316.0,2
0,0,3,0,20,1481.0,1
0,0,4,2,15,929.0,1
0,0,0,1,18,1720.0,1
0,0,3,0,6,1623.0,1
0,0,1,3,10,168.0,2
0,0,4,4,17,904.0,1
1,0,4,4,10,993.0,2
0,1,1,0,13,1311.0,2
0,0,2,0,22,1204.0,2
0,0,3,2,17,1555.0,1
1,0,4,0,9,677.0,2
0,0,0,0,15,1302.0,2
1,0,1,4,11,1319.0,3
0,0,1,3,11,1350.0,1
0,1,3,4,9,1401.0,3
0,0,0,4,15,1463.0,2
0,0,1,3,14,172.0,2
0,0,3,4,14,1207.0,1
0,0,3,4,15,1051.0,1
0,0,2,0,11,1261.0,1
0,0,3,2,16,1192.0,1
0,0,2,2,18,1265.0,1
0,0,2,3,16,1226.0,2
0,0,2,0,10,1316.0,1
1,1,4,2,14,930.0,2
0,0,0,0,11,1176.0,1
0,1,0,0,15,1353.0,2
0,0,2,1,20,915.0,1
1,0,2,2,16,1286.0,3
0,0,3,4,17,1629.0,1
0,0,0,0,8,1720.0,1
0,0,4,4,21,926.0,1
1,0,4,3,17,921.0,2
1,1,3,0,9,1392.0,4
0,0,3,0,14,1555.0,2
0,0,2,0,16,1307.0,2
0,0,2,2,13,1194.0,2
0,0,1,2,16,178.0,1
1,1,4,0,14,944.0,2
0,0,2,0,9,1287.0,1
0,0,3,4,9,1638.0,1
0,0,0,2,17,1570.0,1
0,0,3,1,8,1286.0,2
0,0,0,0,14,1227.0,1
0,0,4,0,12,993.0,1
0,0,0,2,16,1560.0,2
0,0,2,4,18,1257.0,2
0,0,2,3,18,1271.0,1
0,0,1,4,16,153.0,1
0,0,2,2,10,1181.0,1
0,0,2,0,22,1312.0,2
1,0,0,3,21,1460.0,3
0,1,3,3,11,1385.0,2
0,0,4,0,10,993.0,1
0,0,3,4,11,1181.0,3
0,0,2,0,10,1222.0,1
0,0,2,4,14,1226.0,1
0,0,0,3,11,796.0,1
1,1,0,1,8,1353.0,3
0,0,3,1,14,1195.0,2
1,0,4,0,8,903.0,2
0,0,2,2,13,1208.0,2
1,1,2,0,17,1267.0,3
0,0,3,2,17,1299.0,1
0,0,0,0,19,1215.0,2
0,0,3,0,7,1638.0,1
0,0,3,3,9,1140.0,2
0,0,3,0,13,1469.0,2
0,0,3,1,11,1631.0,2
0,0,3,2,20,1623.0,2
0,0,3,0,10,1303.0,3
0,0,3,2,10,1207.0,2
0,0,2,2,13,1276.0,2
0,0,2,0,13,1270.0,2
0,0,4,0,4,908.0,1
0,0,3,4,8,1145.0,1
1,1,0,0,17,1555.0,3
0,0,3,2,6,1140.0,2
0,0,4,4,17,993.0,1
0,1,0,0,22,1482.0,2
0,0,3,0,11,1419.0,1
1,0,0,0,14,912.0,3
1,0,4,4,10,926.0,2
1,1,0,0,12,1286.0,3
0,0,4,3,4,958.0,1
0,0,3,0,18,1629.0,2
0,0,2,0,9,1256.0,1
0,0,4,0,8,908.0,1
1,0,3,1,20,1191.0,4
0,0,2,2,13,1331.0,2
0,1,0,0,14,1535.0,2
1,0,4,2,10,925.0,2
0,0,2,0,20,1233.0,2
0,0,0,0,5,1517.0,2
0,0,3,0,15,1535.0,2
0,0,2,3,16,1307.0,1
1,1,4,0,19,861.0,2
1,0,0,1,16,1176.0,3
1,0,0,4,22,796.0,3
1,1,2,0,10,923.0,3
1,0,0,0,13,1102.0,3
0,0,2,1,15,962.0,2
0,0,4,2,10,898.0,1
0,0,4,3,12,895.0,1
0,0,0,3,12,1517.0,2
0,0,3,0,14,1381.0,3
0,0,2,2,10,1255.0,1
0,0,0,0,17,1308.0,1
0,0,3,3,9,1525.0,1
0,0,3,0,14,1638.0,2
0,0,4,2,8,910.0,1
1,0,4,4,17,922.0,2
0,0,3,0,16,1218.0,1
0,0,2,0,10,1251.0,2
0,1,0,0,15,1240.0,2
0,0,0,0,13,1463.0,2
1,1,0,0,16,1344.0,3
0,0,3,2,14,1476.0,1
0,0,3,0,14,1195.0,1
0,0,3,0,8,1609.0,1
0,1,3,2,8,1401.0,1
0,0,2,0,15,1256.0,1
1,1,2,0,16,1267.0,3
0,0,0,0,10,1460.0,1
0,0,4,4,14,962.0,1
0,0,2,4,14,1232.0,1
0,0,2,2,10,1194.0,1
0,0,3,2,14,1638.0,1
1,0,4,3,13,925.0,2
1,0,4,3,18,978.0,2
0,0,0,0,20,1396.0,2
1,0,2,4,9,1272.0,3
0,0,2,2,10,1189.0,2
0,0,3,0,20,1476.0,1
1,0,4,4,13,914.0,2
0,0,0,0,17,805.0,2
1,0,0,0,12,1093.0,3
0,0,3,3,10,1218.0,1
0,0,0,0,16,1479.0,2
0,0,4,3,10,900.0,1
0,0,1,2,10,1350.0,2
0,1,2,0,12,1316.0,1
0,1,3,4,15,1192.0,2
0,0,2,2,17,1244.0,2
0,0,1,0,17,1350.0,2
0,0,0,3,10,926.0,1
0,0,2,0,15,1272.0,1
0,0,0,0,18,1059.0,2
0,0,0,3,14,1129.0,1
0,0,2,2,10,1252.0,1
0,0,3,4,14,1218.0,2
0,0,0,0,18,1176.0,2
0,0,3,0,14,1424.0,2
0,0,3,0,10,1020.0,3
0,0,2,0,1,1287.0,2
0,0,2,4,9,1251.0,2
1,1,3,1,14,1207.0,4
0,0,0,0,8,1347.0,1
0,0,0,3,16,1302.0,1
0,0,2,0,15,1256.0,1
1,0,4,0,17,973.0,2
0,1,2,2,14,1308.0,2
0,0,0,0,12,1517.0,2
0,0,4,2,6,915.0,1
0,0,0,0,8,1215.0,1
1,0,4,0,12,922.0,2
1,0,3,0,14,1448.0,4
0,0,0,0,11,1357.0,1
0,0,3,4,9,1299.0,2
0,0,3,3,15,1286.0,1
0,0,0,4,17,1463.0,2
0,1,2,4,7,1128.0,2
1,0,4,2,17,861.0,2
0,0,4,1,7,891.0,1
0,0,3,0,21,1555.0,2
0,0,3,0,11,1203.0,2
0,0,3,4,13,1164.0,2
1,1,0,2,14,1458.0,3
1,0,0,0,16,950.0,3
0,0,0,2,19,920.0,1
0,0,2,0,15,1167.0,2
0,0,4,3,11,929.0,1
1,0,4,4,12,915.0,2
0,0,4,0,11,910.0,1
0,0,3,4,10,1191.0,1
0,0,0,2,14,1535.0,2
0,0,3,0,9,1385.0,2
1,1,4,2,17,898.0,2
0,0,2,2,12,915.0,1
0,0,4,2,20,882.0,1
0,0,3,2,15,1535.0,2
0,0,2,2,9,1254.0,2
1,1,2,2,7,1244.0,3
0,0,4,4,15,886.0,1
0,0,4,4,18,993.0,1
1,0,2,4,12,1307.0,3
0,0,1,3,9,181.0,1
1,0,0,2,11,1344.0,3
0,0,3,0,0,1020.0,3
0,0,3,2,9,1051.0,2
0,0,0,1,16,1153.0,1
0,1,3,0,13,1623.0,3
0,0,2,2,8,1271.0,1
0,0,2,2,17,1308.0,1
0,1,4,0,18,914.0,1
0,0,0,0,7,1460.0,1
0,0,4,0,19,875.0,1
0,1,3,4,8,1192.0,1
1,0,4,0,6,886.0,2
0,0,4,3,11,958.0,1
1,1,3,0,17,1207.0,4
0,1,2,2,9,1238.0,2
1,0,4,2,9,958.0,2
0,0,3,2,19,1181.0,2
0,0,3,0,8,1020.0,1
0,0,3,2,11,1218.0,3
0,0,2,0,16,1227.0,2
0,1,4,2,17,910.0,1
0,0,0,0,11,1401.0,2
0,0,3,0,11,1284.0,3
1,1,1,0,16,1353.0,3
0,0,0,4,14,1184.0,2
0,0,0,0,12,1176.0,2
0,0,0,1,14,1102.0,2
0,0,0,2,14,1514.0,2
0,0,3,0,15,1356.0,1
0,1,0,0,10,1463.0,2
1,0,4,0,1,895.0,2
1,0,0,1,11,934.0,3
0,0,3,0,16,1601.0,1
0,0,0,0,0,1560.0,1
1,0,2,1,8,1232.0,3
1,0,2,0,13,1227.0,3
0,0,2,0,13,1287.0,1
0,0,2,2,8,976.0,2
0,0,3,2,20,1140.0,1
1,0,2,3,16,1167.0,3
0,0,2,2,11,923.0,2
0,0,1,4,20,1350.0,2
0,0,3,3,8,1629.0,2
0,0,0,1,15,1176.0,2
0,0,4,4,9,902.0,1
1,0,4,2,5,993.0,2
0,0,0,2,11,1327.0,1
0,0,2,0,15,1194.0,1
0,1,1,0,17,179.0,2
0,0,3,2,13,1476.0,1
0,0,3,2,15,1631.0,2
0,0,1,0,12,170.0,1
0,0,0,2,21,1030.0,2
0,0,2,1,7,1272.0,1
0,0,3,0,9,1203.0,2
1,0,0,0,10,1460.0,3
0,0,0,0,10,1302.0,2
0,0,4,0,12,687.0,1
0,0,0,0,22,771.0,2
1,0,4,4,16,903.0,2
1,0,0,0,12,1560.0,3
0,0,4,4,19,904.0,1
0,0,0,0,15,1401.0,1
0,0,1,0,10,187.0,2
0,0,2,2,8,1256.0,1
0,0,4,4,9,903.0,1
0,0,0,0,18,1621.0,2
1,1,3,0,3,1455.0,4
0,0,2,3,14,1284.0,2
0,0,3,0,18,1555.0,1
0,0,2,2,23,1271.0,1
1,1,2,3,14,1272.0,3
0,0,2,2,21,962.0,1
0,0,2,2,7,1189.0,2
0,0,2,2,9,1226.0,1
1,0,4,0,7,882.0,2
0,0,4,3,17,861.0,1
0,1,3,2,10,1203.0,2
0,0,0,0,13,920.0,2
1,0,0,4,11,909.0,3
0,0,4,1,16,895.0,1
0,0,1,0,15,143.0,2
0,0,3,0,12,1191.0,1
1,0,4,0,8,914.0,2
0,0,2,0,13,1308.0,2
0,0,1,0,9,192.0,2
1,1,4,4,9,902.0,2
1,0,4,1,12,861.0,2
0,0,2,2,16,1227.0,1
0,1,0,2,19,1227.0,2
0,0,2,2,10,1252.0,1
1,0,3,4,8,1142.0,4
0,1,0,1,11,1555.0,2
0,0,3,0,16,1454.0,1
0,0,1,3,15,1311.0,2
